"id","name","station_id","facility_type","physical_city","physical_state","Vet Center Status
(Normal, Alpha, Bravo, Charlie, Delta)","facility_status
(Options: Normal services and hours, Facility notice, Limited services and hours, Facility closed)","facility_status_more_info
(limit 300 characters, plain text only, changed yellow if too long)"
"vc_0228V","Alexandria Vet Center","0228V","vet_center","Alexandria","VA","Bravo Status","Limited services and hours","We're currently open for limited in-person service, and screening all visitors for symptoms, due to the coronavirus COVID-19. For individual and group counseling, we recommend using our telehealth services. If you need to talk with someone confidentially, please call us anytime 24/7 at 877-927-8387."
"vc_0734V","Alexandria Vet Center","0734V","vet_center","Alexandria","LA","Bravo Status","Limited services and hours","We're currently open for limited in-person service, and screening all visitors for symptoms, due to the coronavirus COVID-19. For individual and group counseling, we recommend using our telehealth services. If you need to talk with someone confidentially, please call us anytime 24/7 at 877-927-8387."
"vc_0702V","Amarillo Vet Center","0702V","vet_center","Amarillo","TX","Bravo Status","Limited services and hours","We're currently open for limited in-person service, and screening all visitors for symptoms, due to the coronavirus COVID-19. For individual and group counseling, we recommend using our telehealth services. If you need to talk with someone confidentially, please call us anytime 24/7 at 877-927-8387."
"vc_0616V","American Samoa Vet Center","0616V","vet_center","Pago Pago","AS","Bravo Status","Limited services and hours","We're currently open for limited in-person service, and screening all visitors for symptoms, due to the coronavirus COVID-19. For individual and group counseling, we recommend using our telehealth services. If you need to talk with someone confidentially, please call us anytime 24/7 at 877-927-8387."
"vc_0502V","Anchorage Vet Center","0502V","vet_center","Anchorage","AK","Bravo Status","Limited services and hours","We're currently open for limited in-person service, and screening all visitors for symptoms, due to the coronavirus COVID-19. For individual and group counseling, we recommend using our telehealth services. If you need to talk with someone confidentially, please call us anytime 24/7 at 877-927-8387."
"vc_0235V","Annapolis Vet Center","0235V","vet_center","Annapolis","MD","Bravo Status","Limited services and hours","We're currently open for limited in-person service, and screening all visitors for symptoms, due to the coronavirus COVID-19. For individual and group counseling, we recommend using our telehealth services. If you need to talk with someone confidentially, please call us anytime 24/7 at 877-927-8387."
"vc_0603V","Antelope Valley Vet Center","0603V","vet_center","Palmdale","CA","Bravo Status","Limited services and hours","We're currently open for limited in-person service, and screening all visitors for symptoms, due to the coronavirus COVID-19. For individual and group counseling, we recommend using our telehealth services. If you need to talk with someone confidentially, please call us anytime 24/7 at 877-927-8387."
"vc_0309V","Arecibo Vet Center","0309V","vet_center","Arecibo","PR","Bravo Status","Limited services and hours","We're currently open for limited in-person service, and screening all visitors for symptoms, due to the coronavirus COVID-19. For individual and group counseling, we recommend using our telehealth services. If you need to talk with someone confidentially, please call us anytime 24/7 at 877-927-8387."
"vc_0732V","Arlington Vet Center","0732V","vet_center","Pantego","TX","Bravo Status","Limited services and hours","We're currently open for limited in-person service, and screening all visitors for symptoms, due to the coronavirus COVID-19. For individual and group counseling, we recommend using our telehealth services. If you need to talk with someone confidentially, please call us anytime 24/7 at 877-927-8387."
"vc_0304V","Atlanta Vet Center","0304V","vet_center","College Park","GA","Bravo Status","Limited services and hours","We're currently open for limited in-person service, and screening all visitors for symptoms, due to the coronavirus COVID-19. For individual and group counseling, we recommend using our telehealth services. If you need to talk with someone confidentially, please call us anytime 24/7 at 877-927-8387."
"vc_0346V","Augusta Vet Center","0346V","vet_center","Augusta","GA","Bravo Status","Limited services and hours","We're currently open for limited in-person service, and screening all visitors for symptoms, due to the coronavirus COVID-19. For individual and group counseling, we recommend using our telehealth services. If you need to talk with someone confidentially, please call us anytime 24/7 at 877-927-8387."
"vc_0436V","Aurora Vet Center","0436V","vet_center","Aurora","IL","Bravo Status","Limited services and hours","We're currently open for limited in-person service, and screening all visitors for symptoms, due to the coronavirus COVID-19. For individual and group counseling, we recommend using our telehealth services. If you need to talk with someone confidentially, please call us anytime 24/7 at 877-927-8387."
"vc_0703V","Austin Vet Center","0703V","vet_center","Austin","TX","Bravo Status","Limited services and hours","We're currently open for limited in-person service, and screening all visitors for symptoms, due to the coronavirus COVID-19. For individual and group counseling, we recommend using our telehealth services. If you need to talk with someone confidentially, please call us anytime 24/7 at 877-927-8387."
"vc_0120V","Babylon Vet Center","0120V","vet_center","Babylon","NY","Bravo Status","Limited services and hours","We're conducting all regularly scheduled appointments virtually at this time due to the coronavirus COVID-19. Please contact us by phone or online. If you need to talk with someone confidentially, please call us anytime day or night at 877-927-8387."
"vc_0601V","Bakersfield Vet Center","0601V","vet_center","Bakersfield","CA","Bravo Status","Limited services and hours","We're currently open for limited in-person service, and screening all visitors for symptoms, due to the coronavirus COVID-19. For individual and group counseling, we recommend using our telehealth services. If you need to talk with someone confidentially, please call us anytime 24/7 at 877-927-8387."
"vc_0201V","Baltimore Vet Center","0201V","vet_center","Baltimore","MD","Bravo Status","Limited services and hours","We're currently open for limited in-person service, and screening all visitors for symptoms, due to the coronavirus COVID-19. For individual and group counseling, we recommend using our telehealth services. If you need to talk with someone confidentially, please call us anytime 24/7 at 877-927-8387."
"vc_0121V","Bangor Vet Center","0121V","vet_center","Bangor","ME","Bravo Status","Limited services and hours","We're conducting all regularly scheduled appointments virtually at this time due to the coronavirus COVID-19. Please contact us by phone or online. If you need to talk with someone confidentially, please call us anytime day or night at 877-927-8387."
"vc_0725V","Baton Rouge Vet Center","0725V","vet_center","Baton Rouge","LA","Bravo Status","Limited services and hours","We're currently open for limited in-person service, and screening all visitors for symptoms, due to the coronavirus COVID-19. For individual and group counseling, we recommend using our telehealth services. If you need to talk with someone confidentially, please call us anytime 24/7 at 877-927-8387."
"vc_0744V","Bay County Vet Center","0744V","vet_center","Panama City","FL","Bravo Status","Limited services and hours","We're currently open for limited in-person service, and screening all visitors for symptoms, due to the coronavirus COVID-19. For individual and group counseling, we recommend using our telehealth services. If you need to talk with someone confidentially, please call us anytime 24/7 at 877-927-8387."
"vc_0735V","Beaumont Vet Center","0735V","vet_center","Beaumont","TX","Bravo Status","Limited services and hours","We're currently open for limited in-person service, and screening all visitors for symptoms, due to the coronavirus COVID-19. For individual and group counseling, we recommend using our telehealth services. If you need to talk with someone confidentially, please call us anytime 24/7 at 877-927-8387."
"vc_0231V","Beckley Vet Center","0231V","vet_center","Beckley","WV","Bravo Status","Limited services and hours","We're currently open for limited in-person service, and screening all visitors for symptoms, due to the coronavirus COVID-19. For individual and group counseling, we recommend using our telehealth services. If you need to talk with someone confidentially, please call us anytime 24/7 at 877-927-8387."
"vc_0522V","Bellingham Vet Center","0522V","vet_center","Bellingham","WA","Bravo Status","Limited services and hours","We're currently open for limited in-person service, and screening all visitors for symptoms, due to the coronavirus COVID-19. For individual and group counseling, we recommend using our telehealth services. If you need to talk with someone confidentially, please call us anytime 24/7 at 877-927-8387."
"vc_0134V","Berlin Vet Center","0134V","vet_center","Gorham","NH","Bravo Status","Limited services and hours","We're currently open for limited in-person service, and screening all visitors for symptoms, due to the coronavirus COVID-19. For individual and group counseling, we recommend using our telehealth services. If you need to talk with someone confidentially, please call us anytime 24/7 at 877-927-8387."
"vc_0509V","Billings Vet Center","0509V","vet_center","Billings","MT","Bravo Status","Limited services and hours","We're currently open for limited in-person service, and screening all visitors for symptoms, due to the coronavirus COVID-19. For individual and group counseling, we recommend using our telehealth services. If you need to talk with someone confidentially, please call us anytime 24/7 at 877-927-8387."
"vc_0737V","Biloxi Vet Center","0737V","vet_center","Biloxi","MS","Bravo Status","Limited services and hours","We're currently open for limited in-person service, and screening all visitors for symptoms, due to the coronavirus COVID-19. For individual and group counseling, we recommend using our telehealth services. If you need to talk with someone confidentially, please call us anytime 24/7 at 877-927-8387."
"vc_0137V","Binghamton Vet Center","0137V","vet_center","Binghamton","NY","Bravo Status","Limited services and hours","We're currently open for limited in-person service, and screening all visitors for symptoms, due to the coronavirus COVID-19. For individual and group counseling, we recommend using our telehealth services. If you need to talk with someone confidentially, please call us anytime 24/7 at 877-927-8387."
"vc_0739V","Birmingham Vet Center","0739V","vet_center","Hoover","AL","Bravo Status","Limited services and hours","We're currently open for limited in-person service, and screening all visitors for symptoms, due to the coronavirus COVID-19. For individual and group counseling, we recommend using our telehealth services. If you need to talk with someone confidentially, please call us anytime 24/7 at 877-927-8387."
"vc_0446V","Bismarck Vet Center","0446V","vet_center","Bismarck","ND","Bravo Status","Limited services and hours","We're currently open for limited in-person service, and screening all visitors for symptoms, due to the coronavirus COVID-19. For individual and group counseling, we recommend using our telehealth services. If you need to talk with someone confidentially, please call us anytime 24/7 at 877-927-8387."
"vc_0112V","Bloomfield Vet Center","0112V","vet_center","Bloomfield","NJ","Bravo Status","Limited services and hours","We're currently open for limited in-person service, and screening all visitors for symptoms, due to the coronavirus COVID-19. For individual and group counseling, we recommend using our telehealth services. If you need to talk with someone confidentially, please call us anytime 24/7 at 877-927-8387."
"vc_0503V","Boise Vet Center","0503V","vet_center","Boise","ID","Bravo Status","Limited services and hours","We're currently open for limited in-person service, and screening all visitors for symptoms, due to the coronavirus COVID-19. For individual and group counseling, we recommend using our telehealth services. If you need to talk with someone confidentially, please call us anytime 24/7 at 877-927-8387."
"vc_0101V","Boston Vet Center","0101V","vet_center","Boston","MA","Bravo Status","Limited services and hours","We're currently open for limited in-person service, and screening all visitors for symptoms, due to the coronavirus COVID-19. For individual and group counseling, we recommend using our telehealth services. If you need to talk with someone confidentially, please call us anytime 24/7 at 877-927-8387."
"vc_0527V","Boulder Vet Center","0527V","vet_center","Boulder","CO","Bravo Status","Limited services and hours","We're currently open for limited in-person service, and screening all visitors for symptoms, due to the coronavirus COVID-19. For individual and group counseling, we recommend using our telehealth services. If you need to talk with someone confidentially, please call us anytime 24/7 at 877-927-8387."
"vc_0104V","Brockton Vet Center","0104V","vet_center","Brockton","MA","Bravo Status","Limited services and hours","We're currently open for limited in-person service, and screening all visitors for symptoms, due to the coronavirus COVID-19. For individual and group counseling, we recommend using our telehealth services. If you need to talk with someone confidentially, please call us anytime 24/7 at 877-927-8387."
"vc_0439V","Brooklyn Park Vet Center","0439V","vet_center","Brooklyn Park","MN","Bravo Status","Limited services and hours","We're currently open for limited in-person service, and screening all visitors for symptoms, due to the coronavirus COVID-19. For individual and group counseling, we recommend using our telehealth services. If you need to talk with someone confidentially, please call us anytime 24/7 at 877-927-8387."
"vc_0105V","Brooklyn Vet Center","0105V","vet_center","Brooklyn","NY","Bravo Status","Limited services and hours","We're currently open for limited in-person service, and screening all visitors for symptoms, due to the coronavirus COVID-19. For individual and group counseling, we recommend using our telehealth services. If you need to talk with someone confidentially, please call us anytime 24/7 at 877-927-8387."
"vc_0238V","Bucks County Vet Center","0238V","vet_center","Bristol","PA","Bravo Status","Limited services and hours","We're currently open for limited in-person service, and screening all visitors for symptoms, due to the coronavirus COVID-19. For individual and group counseling, we recommend using our telehealth services. If you need to talk with someone confidentially, please call us anytime 24/7 at 877-927-8387."
"vc_0107V","Buffalo Vet Center","0107V","vet_center","Amherst","NY","Bravo Status","Limited services and hours","We're currently open for limited in-person service, and screening all visitors for symptoms, due to the coronavirus COVID-19. For individual and group counseling, we recommend using our telehealth services. If you need to talk with someone confidentially, please call us anytime 24/7 at 877-927-8387."
"vc_0136V","Cape Cod Vet Center","0136V","vet_center","Hyannis","MA","Bravo Status","Limited services and hours","We're currently open for limited in-person service, and screening all visitors for symptoms, due to the coronavirus COVID-19. For individual and group counseling, we recommend using our telehealth services. If you need to talk with someone confidentially, please call us anytime 24/7 at 877-927-8387."
"vc_0519V","Casper Vet Center","0519V","vet_center","Casper","WY","Bravo Status","Limited services and hours","We're currently open for limited in-person service, and screening all visitors for symptoms, due to the coronavirus COVID-19. For individual and group counseling, we recommend using our telehealth services. If you need to talk with someone confidentially, please call us anytime 24/7 at 877-927-8387."
"vc_0431V","Cedar Rapids Vet Center","0431V","vet_center","Cedar Rapids","IA","Bravo Status","Limited services and hours","We're currently open for limited in-person service, and screening all visitors for symptoms, due to the coronavirus COVID-19. For individual and group counseling, we recommend using our telehealth services. If you need to talk with someone confidentially, please call us anytime 24/7 at 877-927-8387."
"vc_0622V","Central Oregon Vet Center","0622V","vet_center","Bend","OR","Bravo Status","Limited services and hours","We're currently open for limited in-person service, and screening all visitors for symptoms, due to the coronavirus COVID-19. For individual and group counseling, we recommend using our telehealth services. If you need to talk with someone confidentially, please call us anytime 24/7 at 877-927-8387."
"vc_0223V","Charleston Vet Center","0223V","vet_center","Charleston","WV","Bravo Status","Limited services and hours","We're currently open for limited in-person service, and screening all visitors for symptoms, due to the coronavirus COVID-19. For individual and group counseling, we recommend using our telehealth services. If you need to talk with someone confidentially, please call us anytime 24/7 at 877-927-8387."
"vc_0303V","Charleston Vet Center","0303V","vet_center","North Charleston","SC","Bravo Status","Limited services and hours","We're currently open for limited in-person service, and screening all visitors for symptoms, due to the coronavirus COVID-19. For individual and group counseling, we recommend using our telehealth services. If you need to talk with someone confidentially, please call us anytime 24/7 at 877-927-8387."
"vc_0317V","Charlotte Vet Center","0317V","vet_center","Charlotte","NC","Bravo Status","Limited services and hours","We're currently open for limited in-person service, and screening all visitors for symptoms, due to the coronavirus COVID-19. For individual and group counseling, we recommend using our telehealth services. If you need to talk with someone confidentially, please call us anytime 24/7 at 877-927-8387."
"vc_0605V","Chatsworth Vet Center","0605V","vet_center","Chatsworth","CA","Bravo Status","Limited services and hours","We're currently open for limited in-person service, and screening all visitors for symptoms, due to the coronavirus COVID-19. For individual and group counseling, we recommend using our telehealth services. If you need to talk with someone confidentially, please call us anytime 24/7 at 877-927-8387."
"vc_0722V","Chattanooga Vet Center","0722V","vet_center","Chattanooga","TN","Bravo Status","Limited services and hours","We're currently open for limited in-person service, and screening all visitors for symptoms, due to the coronavirus COVID-19. For individual and group counseling, we recommend using our telehealth services. If you need to talk with someone confidentially, please call us anytime 24/7 at 877-927-8387."
"vc_0207V","Chesapeake Vet Center","0207V","vet_center","Chesapeake","VA","Bravo Status","Limited services and hours","We're currently open for limited in-person service, and screening all visitors for symptoms, due to the coronavirus COVID-19. For individual and group counseling, we recommend using our telehealth services. If you need to talk with someone confidentially, please call us anytime 24/7 at 877-927-8387."
"vc_0501V","Cheyenne Vet Center","0501V","vet_center","Cheyenne","WY","Bravo Status","Limited services and hours","We're currently open for limited in-person service, and screening all visitors for symptoms, due to the coronavirus COVID-19. For individual and group counseling, we recommend using our telehealth services. If you need to talk with someone confidentially, please call us anytime 24/7 at 877-927-8387."
"vc_0407V","Chicago Heights Vet Center","0407V","vet_center","Chicago Heights","IL","Bravo Status","Limited services and hours","We're currently open for limited in-person service, and screening all visitors for symptoms, due to the coronavirus COVID-19. For individual and group counseling, we recommend using our telehealth services. If you need to talk with someone confidentially, please call us anytime 24/7 at 877-927-8387."
"vc_0410V","Chicago Vet Center","0410V","vet_center","Chicago","IL","Bravo Status","Limited services and hours","We're currently open for limited in-person service, and screening all visitors for symptoms, due to the coronavirus COVID-19. For individual and group counseling, we recommend using our telehealth services. If you need to talk with someone confidentially, please call us anytime 24/7 at 877-927-8387."
"vc_0649V","Chico Vet Center","0649V","vet_center","Chico","CA","Bravo Status","Limited services and hours","We're currently open for limited in-person service, and screening all visitors for symptoms, due to the coronavirus COVID-19. For individual and group counseling, we recommend using our telehealth services. If you need to talk with someone confidentially, please call us anytime 24/7 at 877-927-8387."
"vc_0614V","Chula Vista Vet Center","0614V","vet_center","Bonita","CA","Bravo Status","Limited services and hours","We're currently open for limited in-person service, and screening all visitors for symptoms, due to the coronavirus COVID-19. For individual and group counseling, we recommend using our telehealth services. If you need to talk with someone confidentially, please call us anytime 24/7 at 877-927-8387."
"vc_0204V","Cincinnati Vet Center","0204V","vet_center","Norwood","OH","Bravo Status","Limited services and hours","We're currently open for limited in-person service, and screening all visitors for symptoms, due to the coronavirus COVID-19. For individual and group counseling, we recommend using our telehealth services. If you need to talk with someone confidentially, please call us anytime 24/7 at 877-927-8387."
"vc_0610V","Citrus Heights Vet Center","0610V","vet_center","Citrus Heights","CA","Bravo Status","Limited services and hours","We're currently open for limited in-person service, and screening all visitors for symptoms, due to the coronavirus COVID-19. For individual and group counseling, we recommend using our telehealth services. If you need to talk with someone confidentially, please call us anytime 24/7 at 877-927-8387."
"vc_0210V","City Center Philadelphia Vet Center","0210V","vet_center","Philadelphia","PA","Bravo Status","Limited services and hours","We're currently open for limited in-person service, and screening all visitors for symptoms, due to the coronavirus COVID-19. For individual and group counseling, we recommend using our telehealth services. If you need to talk with someone confidentially, please call us anytime 24/7 at 877-927-8387."
"vc_0339V","Clearwater Vet Center","0339V","vet_center","Clearwater","FL","Bravo Status","Limited services and hours","We're currently open for limited in-person service, and screening all visitors for symptoms, due to the coronavirus COVID-19. For individual and group counseling, we recommend using our telehealth services. If you need to talk with someone confidentially, please call us anytime 24/7 at 877-927-8387."
"vc_0345V","Clermont Vet Center","0345V","vet_center","Clermont","FL","Bravo Status","Limited services and hours","We're currently open for limited in-person service, and screening all visitors for symptoms, due to the coronavirus COVID-19. For individual and group counseling, we recommend using our telehealth services. If you need to talk with someone confidentially, please call us anytime 24/7 at 877-927-8387."
"vc_0205V","Cleveland Vet Center","0205V","vet_center","Maple Heights","OH","Bravo Status","Limited services and hours","We're currently open for limited in-person service, and screening all visitors for symptoms, due to the coronavirus COVID-19. For individual and group counseling, we recommend using our telehealth services. If you need to talk with someone confidentially, please call us anytime 24/7 at 877-927-8387."
"vc_0525V","Colorado Springs Vet Center","0525V","vet_center","Colorado Springs","CO","Bravo Status","Limited services and hours","We're currently open for limited in-person service, and screening all visitors for symptoms, due to the coronavirus COVID-19. For individual and group counseling, we recommend using our telehealth services. If you need to talk with someone confidentially, please call us anytime 24/7 at 877-927-8387."
"vc_0324V","Columbia Vet Center","0324V","vet_center","Columbia","SC","Bravo Status","Limited services and hours","We're currently open for limited in-person service, and screening all visitors for symptoms, due to the coronavirus COVID-19. For individual and group counseling, we recommend using our telehealth services. If you need to talk with someone confidentially, please call us anytime 24/7 at 877-927-8387."
"vc_0443V","Columbia Vet Center","0443V","vet_center","Columbia","MO","Bravo Status","Limited services and hours","We're currently open for limited in-person service, and screening all visitors for symptoms, due to the coronavirus COVID-19. For individual and group counseling, we recommend using our telehealth services. If you need to talk with someone confidentially, please call us anytime 24/7 at 877-927-8387."
"vc_0221V","Columbus Vet Center","0221V","vet_center","Columbus","OH","Bravo Status","Limited services and hours","We're currently open for limited in-person service, and screening all visitors for symptoms, due to the coronavirus COVID-19. For individual and group counseling, we recommend using our telehealth services. If you need to talk with someone confidentially, please call us anytime 24/7 at 877-927-8387."
"vc_0349V","Columbus Vet Center","0349V","vet_center","Columbus","GA","Bravo Status","Limited services and hours","We're currently open for limited in-person service, and screening all visitors for symptoms, due to the coronavirus COVID-19. For individual and group counseling, we recommend using our telehealth services. If you need to talk with someone confidentially, please call us anytime 24/7 at 877-927-8387."
"vc_0602V","Concord Vet Center","0602V","vet_center","Concord","CA","Bravo Status","Limited services and hours","We're currently open for limited in-person service, and screening all visitors for symptoms, due to the coronavirus COVID-19. For individual and group counseling, we recommend using our telehealth services. If you need to talk with someone confidentially, please call us anytime 24/7 at 877-927-8387."
"vc_0611V","Corona Vet Center","0611V","vet_center","Corona","CA","Bravo Status","Limited services and hours","We're currently open for limited in-person service, and screening all visitors for symptoms, due to the coronavirus COVID-19. For individual and group counseling, we recommend using our telehealth services. If you need to talk with someone confidentially, please call us anytime 24/7 at 877-927-8387."
"vc_0705V","Corpus Christi Vet Center","0705V","vet_center","Corpus Christi","TX","Bravo Status","Limited services and hours","We're currently open for limited in-person service, and screening all visitors for symptoms, due to the coronavirus COVID-19. For individual and group counseling, we recommend using our telehealth services. If you need to talk with someone confidentially, please call us anytime 24/7 at 877-927-8387."
"vc_0706V","Dallas Vet Center","0706V","vet_center","Dallas","TX","Bravo Status","Limited services and hours","We're currently open for limited in-person service, and screening all visitors for symptoms, due to the coronavirus COVID-19. For individual and group counseling, we recommend using our telehealth services. If you need to talk with someone confidentially, please call us anytime 24/7 at 877-927-8387."
"vc_0140V","Danbury Vet Center","0140V","vet_center","Danbury","CT","Bravo Status","Limited services and hours","We're currently open for limited in-person service, and screening all visitors for symptoms, due to the coronavirus COVID-19. For individual and group counseling, we recommend using our telehealth services. If you need to talk with someone confidentially, please call us anytime 24/7 at 877-927-8387."
"vc_0225V","Dayton Vet Center","0225V","vet_center","Kettering","OH","Bravo Status","Limited services and hours","We're currently open for limited in-person service, and screening all visitors for symptoms, due to the coronavirus COVID-19. For individual and group counseling, we recommend using our telehealth services. If you need to talk with someone confidentially, please call us anytime 24/7 at 877-927-8387."
"vc_0341V","Daytona Beach Vet Center","0341V","vet_center","Daytona Beach","FL","Bravo Status","Limited services and hours","We're currently open for limited in-person service, and screening all visitors for symptoms, due to the coronavirus COVID-19. For individual and group counseling, we recommend using our telehealth services. If you need to talk with someone confidentially, please call us anytime 24/7 at 877-927-8387."
"vc_0401V","Dearborn Vet Center","0401V","vet_center","Dearborn","MI","Bravo Status","Limited services and hours","We're currently open for limited in-person service, and screening all visitors for symptoms, due to the coronavirus COVID-19. For individual and group counseling, we recommend using our telehealth services. If you need to talk with someone confidentially, please call us anytime 24/7 at 877-927-8387."
"vc_0504V","Denver Vet Center","0504V","vet_center","Denver","CO","Bravo Status","Limited services and hours","We're currently open for limited in-person service, and screening all visitors for symptoms, due to the coronavirus COVID-19. For individual and group counseling, we recommend using our telehealth services. If you need to talk with someone confidentially, please call us anytime 24/7 at 877-927-8387."
"vc_0405V","Des Moines Vet Center","0405V","vet_center","West Des Moines","IA","Bravo Status","Limited services and hours","We're currently open for limited in-person service, and screening all visitors for symptoms, due to the coronavirus COVID-19. For individual and group counseling, we recommend using our telehealth services. If you need to talk with someone confidentially, please call us anytime 24/7 at 877-927-8387."
"vc_0402V","Detroit Vet Center","0402V","vet_center","Detroit","MI","Bravo Status","Limited services and hours","We're currently open for limited in-person service, and screening all visitors for symptoms, due to the coronavirus COVID-19. For individual and group counseling, we recommend using our telehealth services. If you need to talk with someone confidentially, please call us anytime 24/7 at 877-927-8387."
"vc_0518V","Dr. Cameron McKinley Department of Veterans Affairs Veterans Center","0518V","vet_center","Prescott","AZ","Bravo Status","Limited services and hours","We're currently open for limited in-person service, and screening all visitors for symptoms, due to the coronavirus COVID-19. For individual and group counseling, we recommend using our telehealth services. If you need to talk with someone confidentially, please call us anytime 24/7 at 877-927-8387."
"vc_0227V","DuBois Vet Center","0227V","vet_center","DuBois","PA","Bravo Status","Limited services and hours","We're currently open for limited in-person service, and screening all visitors for symptoms, due to the coronavirus COVID-19. For individual and group counseling, we recommend using our telehealth services. If you need to talk with someone confidentially, please call us anytime 24/7 at 877-927-8387."
"vc_0429V","Duluth Vet Center","0429V","vet_center","Duluth","MN","Bravo Status","Limited services and hours","We're currently open for limited in-person service, and screening all visitors for symptoms, due to the coronavirus COVID-19. For individual and group counseling, we recommend using our telehealth services. If you need to talk with someone confidentially, please call us anytime 24/7 at 877-927-8387."
